"Cost_param","Gamma_param","TP","TN","FP","FN","Acc","Pre","Rec","F1"
1,0.5,2306,1796,704,194,0.8204,0.766112956810631,0.9224,0.837023593466425
1,1,2249,1934,566,251,0.8366,0.798934280639432,0.8996,0.846284101599247
1,3,2237,2032,468,263,0.8538,0.826987060998152,0.8948,0.859558117195005
1,5,2233,2043,457,267,0.8552,0.830111524163569,0.8932,0.860500963391137
10,0.5,2228,2047,453,272,0.855,0.831033196568445,0.8912,0.860065624396835
10,1,2212,2074,426,288,0.8572,0.838514025777104,0.8848,0.861035422343324
10,3,2199,2081,419,301,0.856,0.839954163483575,0.8796,0.859320046893318
10,5,2200,2085,415,300,0.857,0.841300191204589,0.88,0.860215053763441
100,0.5,2198,2085,415,302,0.8566,0.841178721775737,0.8792,0.859769215724624
100,1,2184,2090,410,316,0.8548,0.841942945258288,0.8736,0.857479387514723
100,3,2182,2093,407,318,0.855,0.842796446504442,0.8728,0.857535861662409
100,5,2175,2095,405,325,0.854,0.843023255813954,0.87,0.856299212598425
